primary,celllinename,tissue,gcell_gene__nrpkm_ALK,gcell_gene__nrpkm_APC,gcell_gene__nrpkm_ARID1A,gcell_gene__nrpkm_BCL6,gcell_gene__nrpkm_BRAF,gcell_gene__nrpkm_CBL,gcell_gene__nrpkm_CDKN2A,gcell_gene__nrpkm_CIC,gcell_gene__nrpkm_CSMD3,gcell_gene__nrpkm_CTNNB1,gcell_gene__nrpkm_DAXX,gcell_gene__nrpkm_DNAH5,gcell_gene__nrpkm_DNAJB1,gcell_gene__nrpkm_DNMT3A,gcell_gene__nrpkm_EGFR,gcell_gene__nrpkm_ERBB2,gcell_gene__nrpkm_FBXW7,gcell_gene__nrpkm_GLI1,gcell_gene__nrpkm_IDH1,gcell_gene__nrpkm_KMT2D,gcell_gene__nrpkm_KRAS,gcell_gene__nrpkm_LGALS7,gcell_gene__nrpkm_MET,gcell_gene__nrpkm_MUC16,gcell_gene__nrpkm_NFE2L2,gcell_gene__nrpkm_NOTCH2,gcell_gene__nrpkm_PIK3CA,gcell_gene__nrpkm_PRCC,gcell_gene__nrpkm_PTEN,gcell_gene__nrpkm_RUNX1,gcell_gene__nrpkm_TET2,gcell_gene__nrpkm_TP53,gcell_gene__nrpkm_TP63
CL583673,HM7,Colon,0,4.627700807,12.3575419,2.662795209,8.468328453,6.657739709,0.298225175,8.61747987,0.014687199,128.9236442,29.73209164,0.029141112,38.44743341,0.035361013,7.708620759,42.85064943,4.107515015,0.134384367,102.9561507,6.947967292,13.51341373,0,35.49927104,0.004505446,54.89009716,6.750026286,2.688721871,28.61065527,8.745881122,2.314515311,2.508696191,49.86456413,0.00232727
CL129494,LL/2,Lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL130847,LXFL529,Lung,0,8.955579201,17.35418172,0.752409368,3.542970878,8.602537001,19.4176863,7.509109045,0,93.87958815,31.9525763,0.01307099,68.43922708,11.73127766,5.415683462,7.941569675,3.656528255,1.417877736,18.82260498,12.50565727,6.225156348,0,0.03610275,0,18.41636052,17.37435555,1.732394451,35.44049072,1.860300534,9.274590361,2.813724736,31.55782613,0
CL132336,KNS-62,Lung,0.009295931,2.818892967,9.81741139,4.436367936,2.150677472,4.530721626,17.5161909,6.977217691,0,75.794256,25.60110197,0.666675212,56.14769201,2.444043776,51.76418492,12.92603952,2.637275606,1.051165217,25.81911652,4.520889274,6.204550503,0,26.62518628,0.002798369,25.77559101,3.119873993,3.896981656,40.4536637,0.020374433,7.31897678,1.47360553,56.67312669,115.2189535
CL584429,LoVo,Colon,0,5.356626718,15.50435864,1.346378565,6.005485679,5.615369953,1.568786174,5.408079334,0.002650892,89.28238408,26.78769559,0.03190871,51.55379949,1.921584981,17.69427345,17.49128713,4.400850515,0.443412188,29.61556893,14.47316705,13.24803723,0,77.2378793,0.013011003,23.60696523,10.72642975,2.272711645,37.93265936,7.420581538,3.833949551,0.935740259,25.60346068,0
CL586437,LUDLU-1,Lung,0,1.681010866,8.900069781,7.115882341,7.068827343,7.046176232,0.052263144,8.022364272,0.00306887,46.69740815,26.61841631,0.42744753,39.84171548,2.068965885,97.08163928,19.24404556,2.103770394,0.193923582,92.41036404,7.231636725,8.199461602,0,46.87574993,0.064486376,39.31415871,3.82873214,4.459194868,54.36792447,5.990586922,9.332803395,1.042627046,28.86109078,49.78921927
CL586341,LXF-289,Lung,0.006142519,5.949624131,14.8768876,2.101032792,2.89123171,13.55680784,15.46870459,23.09696611,0.165764841,125.7211219,57.89896775,1.044297002,62.89130931,2.539416132,40.76191612,7.368040017,3.257559422,0.879432574,21.61980673,9.765018991,7.525567965,0,59.92003011,0.003235911,22.26212402,18.69368429,2.581710625,42.24192851,5.517551601,12.66119282,0.928641976,42.63224764,0.01552104
CL585780,MC-38 Ovalbumin,Colon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL583915,LS-180,Colon,0,4.67139285,14.49107641,1.31523309,3.062909575,5.196937482,0.0776157,8.928142654,0.012153499,139.651857,45.02730853,0.304076995,62.6862147,0.333222651,10.34933533,37.00371207,4.772622339,0.036140526,55.94475697,12.78391591,11.36909081,0,47.88316582,0.002982567,27.80030396,11.28770657,1.819848176,33.40826786,6.558094191,4.184066905,2.3434394,46.86465022,0.030042331
CL583685,LS1034,Colon,0.004488266,3.110900892,9.684590306,0.244900906,2.57807431,4.59380251,0.121888331,5.402514955,0.034134495,296.4768671,29.52653664,0.028401566,116.1997878,0.934653327,1.286336838,15.63375178,2.216270437,0.049115231,59.72538818,6.860049748,14.70682114,0,17.31577814,0.00135111,16.77949433,3.671931331,1.891308186,33.39680145,5.162886568,21.86036966,0.863948341,36.20992857,0.006804624
CL130491,MT-3,Colon,0,5.595243243,12.23412539,1.486128472,4.45214946,6.051751608,0.030254432,6.249841918,0.004263667,125.6639552,42.50065287,0.054987473,56.20766953,0.35052363,9.848828506,31.13836228,3.828622664,0.248292164,25.00461335,9.59411545,8.023530819,0,28.72394015,0.000435974,22.40798393,6.787061335,2.090304076,34.00362129,6.208836804,4.171309384,2.375987529,25.20587048,0.008782827
CL586257,MDST8,Colon,0.005677629,3.543821946,8.888017805,2.996256643,3.472625353,8.635015337,3.997027124,17.35014687,1.587906955,80.91543913,35.3820367,0.172453473,89.98481152,0.987019446,28.93291808,14.81757286,3.550983365,1.17012376,55.9512081,4.527443166,5.163800062,0,31.08481263,0,15.81720152,11.08130641,3.113123722,28.71000094,4.413467795,22.60098164,0.857168111,25.05197117,0
CL131229,LS-174T,Colon,0,3.408696404,10.49407454,0.996884889,2.52534826,2.866222488,0.022750026,6.607928394,0.026717443,130.1125882,39.89064157,0.141502744,69.75636682,0.020069439,6.104190228,25.82947934,3.515606665,0.007944893,74.43213006,9.357290955,7.526440053,0,23.69723151,0.000327834,26.21156039,7.38772028,1.322223089,35.60725087,5.222537945,1.87186847,1.735488737,43.66060019,0.041827273
CL586453,NCI-H1623,Lung,0.492534105,3.785880037,23.12610985,4.841648557,8.056154162,9.758002857,4.446536899,13.18012714,0,129.0954123,30.53604496,0.007308929,31.41896682,10.02242297,35.17646163,32.40373342,2.949670156,0.117366177,79.81267616,29.11884381,13.41019412,0,60.83578464,1.32398397,37.89829822,14.66260664,8.842707257,50.82207212,7.265483507,21.57425451,2.946762622,20.41183624,0.190121445
CL586730,NCI-H2810,Lung,0,5.623025025,12.12878684,9.566519738,3.403551422,8.809586751,0,9.819349252,0.002032329,112.1747578,31.0039995,0.227157219,32.91820309,2.205982752,36.57469463,17.40867984,3.249318286,0.898967637,19.83630401,2.451862115,5.368285321,0,47.44965658,0,25.80329839,37.53686059,6.161465018,31.6767923,6.663453785,19.31133307,1.467790104,52.47463813,0.008372883
CL585819,NCI-H820,Lung,0.003127449,2.946230941,26.82721896,5.547344153,7.451802498,7.347762854,63.20936084,8.328302096,0,89.52057876,26.15458514,5.615187963,69.48476421,1.959578546,23.10248049,14.27360614,6.385611384,0.022815846,28.94966129,15.57615329,8.541712806,0.088521566,259.4826073,0.108738731,22.82873686,26.12515145,3.159722425,37.88041747,4.562886116,16.88317184,1.412545477,8.591508314,0.151727998
CL129492,NCI-H1650,Lung,0.01619208,3.629044331,21.78385508,2.80439447,4.880040563,9.486029814,0.056375657,12.47827587,0,87.72855856,30.80413773,0.102462838,114.4497095,1.720762966,39.74155124,37.86470671,5.370949378,0.088595218,50.08899151,7.610736374,5.381749021,0,59.96811237,0.05118044,24.58146129,18.25397837,3.542726157,38.41956316,2.476352112,9.445757121,2.195581985,1.559154099,0.141836834
CL130536,NCI-H1703,Lung,0,8.495958576,25.60247867,1.448947429,3.552191863,10.66500896,26.60888913,15.56007758,0,112.8931009,50.03672353,0.60968575,38.37526108,2.403042292,26.30170783,21.33738778,3.139321175,7.656747314,16.7758977,9.15115651,14.53812696,0,11.09215688,0.00253431,13.66699444,22.59230022,2.9349399,28.77630635,5.722127588,1.57560844,1.531088055,7.248174741,0.008509066
CL586162,NCI-H1975,Lung,0.018950537,5.171729892,10.93007528,4.696130044,4.369938189,6.846911719,4.55825633,4.067874788,0,82.70193818,26.87334208,0.971908804,82.33459307,1.65636147,36.39352942,13.26368607,3.287460959,0.03950025,19.91469543,11.97537589,3.115056177,0,49.08346352,2.245618445,19.5090961,15.60485481,2.913835255,45.86937964,5.897968931,8.818639586,0.817433645,45.67034108,1.327087341
CL586223,NCI-H2228,Lung,2.352927095,6.352308866,15.43505097,9.84907038,4.259435889,10.08729664,0,17.41918887,0,44.08974446,25.76381987,0.83940155,71.00705365,1.698983911,56.38615951,14.39851854,2.451801356,0.322701139,57.27675547,9.469969996,6.372526823,0,84.69331114,4.883849671,31.82580153,16.51338546,5.9053435,46.49654773,6.21158818,13.35608599,0.722484904,4.653459965,1.317719095
CL586721,NCI-H2373,Lung,0.015567686,7.923301324,11.95756949,5.730592411,3.78798518,4.969962788,0,16.42168664,0,57.0540275,41.02829365,0.201401686,67.57217726,3.520795663,43.29885731,21.00636026,2.986214192,0.028392945,27.29250605,8.979143862,3.622891006,0,176.6583294,0.00039053,24.62300998,20.63831581,3.415521676,39.93762838,6.662995108,17.86169322,1.266549934,48.86545267,0.020979594
CL586038,NCI-H716,Colon,0.005132218,10.42433045,25.14616131,0.689645749,9.355686706,5.456322023,14.27534066,13.41629356,9.85367329,48.22046785,17.73892259,0.017320784,45.57866058,7.48441919,16.65768258,1.580880369,6.450063566,0.631822726,87.72918183,13.18653421,12.65437529,0,26.04431049,0.00154496,28.52080332,3.700762899,3.936344291,30.57483496,5.650536722,6.363264642,3.581417426,2.771324233,0.028530019
CL130538,NCI-H1666,Lung,0.013714924,2.443461634,8.568088988,8.607895624,2.41929223,3.919416021,0,7.853094438,0.044862694,121.5160535,41.76030748,0.331721067,129.295107,3.170577505,13.76475452,54.41689551,3.591271084,0,99.34362241,9.796917085,6.746789472,0,28.54534045,0.035781418,29.89046149,7.095766443,2.924477801,73.62036288,12.33453553,10.04022679,1.366967513,41.35371403,7.388476268
CL586733,NCI-H2596,Lung,0.02530798,4.59050864,10.59420958,8.238424831,3.653475182,3.793851879,0,9.736633414,0.0674103,123.0509062,32.74296152,0.175400068,91.23539413,3.284731815,35.92234124,18.12174216,2.61088291,1.233069145,23.8095482,5.547452734,6.805031373,0,52.90606694,2.534240084,48.18738931,23.25483381,4.840595039,45.33141023,6.917772917,8.334012984,1.015852789,27.95989963,0.007308424
CL586632,MSTO-211H,Lung,0,4.178291889,10.73255067,3.018873884,4.011316553,6.39590756,0.10894807,9.198294997,0,94.23616823,23.99903411,0.644812458,27.37628717,2.129227228,37.22930056,16.71646896,2.970392709,0.914602455,21.84887314,7.011221566,7.826411779,0,115.4223059,0,30.14802276,27.74972082,3.773840636,24.40888251,3.971427368,10.27586449,1.374531056,23.65506633,0.020274038
CL586456,NCI-H2135,Lung,0.002585544,3.569979718,11.01553532,4.413470393,8.11329072,22.64192264,15.58793035,8.512538985,0.005074522,65.58595001,20.18160361,0.313044646,70.83962461,3.087595999,11.72837767,2.384763586,5.109663703,0.018862458,11.15386483,10.65388605,11.01515872,0,96.89035188,0.000389165,22.16603141,22.62310195,7.681030128,27.85779815,6.669925557,11.30495774,0.743828057,12.4970668,0.002613282
CL586459,NCI-H810,Lung,0.024757916,4.029468769,43.95537501,0.867000935,3.538797164,7.299990589,31.32908591,6.182035052,0.273325291,47.09324605,29.22153615,0.355112101,48.74842358,15.67806236,0.01080551,1.340711313,14.10428402,0,58.14234596,19.58685624,25.04407968,0,14.96637806,0,17.17558899,1.333227401,3.60476739,91.49023178,3.330413821,2.12426579,3.440569635,0.666108785,0.090710253
CL130853,NCI-N417,Lung,3.539369423,10.68973933,27.06378952,5.857897628,8.363949239,11.2921422,40.58624854,14.43616161,2.032745911,49.38504924,33.62083371,0.217891849,26.66483961,5.756102129,6.871865302,1.21250049,2.658367258,0.079327044,21.28216643,6.924112444,8.413989895,0,20.01847425,0,12.66547034,0.107072262,3.363578331,59.73699494,0.017874289,0.013063817,2.899063974,1.580817886,0.005495145
CL129697,NCI-H1048,Lung,0.02165722,3.430336176,18.35367678,1.545054652,2.39584745,7.10649545,48.22809802,6.836087086,0,140.6126784,37.90576705,0.049336569,43.36224907,7.072288712,13.94139645,4.625623512,3.593425827,0.529290244,24.47040772,2.569884181,9.741033261,0,14.27653086,0,33.96256019,7.007293703,2.42211464,75.70974249,6.44290665,2.546435646,2.553962741,37.97061277,0.350232931
CL586019,NCI-H196,Lung,0.014180263,2.483107157,12.12138316,4.151644937,7.579550631,3.790797705,64.58487079,13.95232265,0.005218297,69.39346403,44.70307536,0.094218744,46.56840614,2.299643451,19.96548293,19.11083706,2.990560715,0.672425242,38.86562281,9.482392681,5.699244177,0,35.85774086,0,23.64286558,40.61995253,6.301953736,46.15965234,6.508608313,4.520341972,3.791062982,27.91776805,3.128043746
CL129701,NCI-H1993,Lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL586027,NCI-H2170,Lung,0.00487669,2.759741259,14.80244051,4.471987522,5.122540254,6.437508933,0.050937237,11.48225391,0.003589216,68.00655899,21.06196332,0.042174651,32.81867065,8.360982197,1.478539051,1445.539028,3.574112484,0.017788591,85.21140378,7.5290908,12.11682197,0,23.10079716,0.002936076,24.41412797,6.072600297,2.007236935,42.24574765,3.081858041,8.985688103,3.005323893,28.84247063,0.03450305
CL586345,NCI-H510A,Lung,0.208993193,4.578949303,35.60184392,5.086771688,2.93674029,8.148576149,10.1209168,8.187117398,0.217908562,79.48521383,51.16853495,1.555941976,40.79445771,12.03582086,4.311952565,2.353679191,4.093666981,0.077966556,25.52613256,15.02785109,13.7106867,0,19.34586995,0,33.90397853,6.939725219,3.534552483,32.28507646,3.48578634,4.685088711,2.402278207,26.41973285,0.086414427
CL129193,NCI-H520,Lung,0.105494952,9.83338637,18.60333231,4.349750848,4.76918008,11.45332037,11.0567723,6.277812294,0.014789274,139.7468859,33.97928736,0.002543116,93.30928199,6.10827033,0.129797183,1.119753833,2.950806219,0.016491922,32.0830893,14.54095106,7.097046307,0,2.118881993,0,17.22402588,9.048727868,4.302256896,48.60495042,1.142884524,27.64222899,2.376391631,1.269067475,0.003046477
CL586438,MOR,Lung,0.749897497,3.028039913,20.84453876,5.025679505,5.234730534,4.02889926,7.092955341,7.735108417,0.028107053,89.58660681,32.23632717,1.701505298,62.41031765,7.349659662,3.942635422,24.49522896,2.31125647,0.17096149,76.94838465,15.01179831,11.91842845,0,14.5381646,0.007054464,20.9468932,3.845942197,2.762875727,53.03374326,5.311243192,8.037575466,1.560408019,1.82389377,0.031580932
CL131999,NCI-H1975 (MB),Lung,0.018516665,3.876743098,8.382687437,2.050872738,4.572368372,4.860340236,10.41636786,2.609030837,0,110.1133286,14.46996214,2.438308483,56.71874691,1.626563831,33.3836737,15.89581048,2.214424463,0.057893841,26.58070147,11.00496747,4.907249583,0,76.6770985,3.096413178,24.46044362,10.4190184,3.36513068,35.42109264,6.537897258,13.67194613,0.450388506,26.75485471,0.451841092
CL586404,NCI-H2172,Lung,0.009678478,6.671426651,14.65256427,4.067183918,4.311069387,8.692664869,27.11290662,12.15285058,0.013059393,164.8756767,34.12990011,0.037767765,37.09050479,1.733077319,14.53244809,5.590581683,11.74247654,0.83405612,63.78952819,7.099021694,6.735234123,0,16.18163915,0.414449314,24.19846274,20.791069,5.315620569,29.70121548,5.084020936,1.893414035,2.011162997,1.548684685,3.174359193
CL586735,NCI-H2795,Lung,0.014290536,4.403207815,7.628704605,9.758624703,1.045067482,4.122374641,0,9.799808742,0.024541425,121.7069146,33.00415027,0.099472936,61.7816201,5.785038232,25.82973106,14.52052088,3.850774969,19.49559516,55.53425264,4.638534239,23.25498286,0,5.639407354,3.627579503,60.17002082,17.04450486,3.619866427,37.8663311,11.06950397,6.120730425,2.358249696,30.57668955,0.018054806
CL586727,NCI-H2804,Lung,0.005457757,3.816173109,15.03519377,2.306845727,1.574733344,11.66252518,5.843166396,8.671805509,2.167775173,67.32360734,41.03855746,0.367237757,52.32202244,8.822462836,36.19875869,7.76064948,4.313755439,1.995790363,112.8647591,11.85617248,9.244942321,0,53.35858304,0.059967936,34.09133598,19.72006497,3.578410879,60.93314987,8.190038869,5.053309956,1.045988464,1.73116978,0.077228302
CL586135,NCI-H889,Lung,0.003438227,3.463465476,27.38174412,0.610418978,6.208224308,4.30243511,53.02110389,24.0512667,0.195693191,26.70104653,35.01417741,1.296714889,430.6880541,9.271955186,0.030012051,1.529558556,8.431577248,0.031353851,6.152349273,10.55229022,7.46210316,0,3.156005792,0,15.02832493,1.500952576,3.271718656,32.2083439,3.576974576,0.2010302,1.369792047,14.00234797,0
CL586372,NCI-H1417,Lung,0.109492433,4.231662644,24.19914863,0.616550217,5.648705783,8.33269489,0.130703216,8.767239906,0.443605705,34.13886775,38.10713503,0.178164963,26.9861404,12.44693024,0.034589125,3.829014542,6.390823963,0.011411229,8.548393239,10.55745623,13.78258973,0,13.08707819,0,12.97721976,1.405468177,5.216300972,40.06726038,2.742639111,0.285643832,3.483189604,2.900105306,0.072724071
CL132334,NCI-H1793,Lung,0,5.317529822,5.353341146,6.277926733,4.438498269,6.638392758,0.071890485,10.94353312,0,204.1028469,21.02510094,0.747671624,92.10908223,0.776892337,16.8521466,10.9010502,2.366845163,1.678963913,180.3057304,3.614338664,12.09076471,0,23.02155491,0.019424262,59.10632292,10.48732419,5.141691628,26.73902564,5.996404729,5.953726572,1.367435796,14.87931348,6.139177508
CL586013,NCI-H187,Lung,0.21281314,10.18567731,63.16975102,2.696006857,7.63654123,8.533229989,26.20209715,29.82862816,0.097973863,44.83226326,30.28117525,0.436698916,22.72778497,19.98372831,0.261444459,2.098967789,3.469956092,0.014375437,8.129496773,25.04988022,12.69284536,0,15.1175811,0.002372721,9.732444689,0.260867287,3.187990141,77.94355968,8.416942784,29.83964059,3.093905552,20.33328521,0.010622034
CL586132,NCI-H209,Lung,0.005097876,3.836698856,14.56899579,1.042077514,6.608867042,5.804481848,21.37356007,7.617025914,0.008754685,41.8694184,53.69636268,0.105379911,35.64623742,5.140465631,0.26847742,4.327977978,8.474971882,0,19.76860879,7.65762603,6.793623282,0,6.380806649,0,22.79827064,2.670982293,2.591880071,28.86091714,6.757990947,5.863374755,2.788880384,1.742144061,0.082441055
CL130849,NCI-H2171,Lung,0.010978354,4.328795505,43.93184252,0.670556724,7.459182868,2.776891362,19.45939328,13.53913913,0,73.12499435,44.60421268,0.071786272,48.41604351,18.22363689,0.103815095,1.694030976,2.568940651,0.225255877,27.42332332,14.18198868,7.364662726,0,9.885087448,0,22.37502606,0.031530155,3.704513838,46.57132507,2.247782106,0.455042041,2.08560453,5.192316716,0.138701618
CL129544,NCI-H226,Lung,0.015185647,3.511573755,17.89376911,8.879628025,3.028709948,9.427735029,0.063445893,16.64787647,1.43804948,106.4055323,43.06613208,0.142539683,72.30962519,4.034518492,68.5814884,11.8665387,4.459150688,0.166177006,43.35317854,13.3896045,7.660012004,0,112.022332,0.619990622,36.01154621,32.44230591,1.888882899,38.85842057,7.411073516,12.91396213,1.249797051,66.51774236,0.034534256
CL129264,NCI-H1437,Lung,0.003494322,4.632889776,12.00015779,15.57206022,3.057186798,8.064025296,0,3.849396798,0,117.1698125,15.82750274,2.360080205,39.06739392,2.921415847,11.21852741,24.93326064,2.692407494,0.00637308,98.96158061,9.277833249,8.959862031,0,40.24702322,5.206385894,20.24770822,15.11247542,6.224420576,21.6656365,11.54422742,8.804924045,1.764355006,7.699278489,1.765904636
CL131969,NCI-H1838,Lung,0.012841197,3.392522028,16.59173176,7.581943275,5.053942905,11.7556862,0.02682537,8.954450275,0.003150349,90.28107789,29.3897057,1.825609427,54.76332365,2.666210867,217.7123057,31.77844699,3.808669214,0.070260806,85.32512615,5.793686529,9.777009625,0,135.2230368,0,20.21402313,16.46705121,3.399428962,55.15763687,2.870769217,16.00364933,0.727002315,61.87317199,0.032447392
CL586403,NCI-H1915,Lung,0.005928368,5.866989531,11.07657523,2.10986003,2.687959264,14.9083275,28.34172731,8.918865443,0.00290883,119.2417562,30.5903127,0.193824805,42.33176488,2.041188413,17.96012088,4.442750965,2.876415442,6.346870829,32.25901454,9.87657574,5.365075935,0,16.46260431,0.020523201,27.87569239,10.87381939,3.983714559,32.05816586,5.156273408,10.9757199,0.730935473,0.973801966,0.656120464
CL129190,NCI-H23,Lung,0.036664071,2.948393048,19.62470864,3.230762055,3.773242951,6.306035766,10.90663784,6.758539712,0.00179897,58.82857919,43.13555995,0.051041931,74.93020315,4.198159072,3.11503874,6.972605727,2.789540169,1.879028569,36.56459835,7.22821143,14.34173985,0,7.7575397,0.093814869,38.26313752,9.72523379,2.725663004,50.78364859,7.315326978,0.831057471,1.153183652,19.50041018,0.281636255
